Timestamp	Reference Point	Device Address	Device Name	RSSI
2025-05-13 14:19:44	RS55	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-65
2025-05-13 14:19:44	RS55	2C:CF:67:C8:DD:AB	2C-CF-67-C8-DD-AB	-61
2025-05-13 14:19:45	RS55	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-60
2025-05-13 14:19:45	RS55	2C:CF:67:C8:DD:AB	2C-CF-67-C8-DD-AB	-63
2025-05-13 14:19:45	RS55	2C:CF:67:8C:3F:46	2C-CF-67-8C-3F-46	-62
2025-05-13 14:19:46	RS55	2C:CF:67:C8:DD:AB	2C-CF-67-C8-DD-AB	-71
2025-05-13 14:19:48	RS55	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-56
2025-05-13 14:19:49	RS55	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-55
2025-05-13 14:19:50	RS55	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-63
2025-05-13 14:19:51	RS55	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-75
2025-05-13 14:19:52	RS55	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-56
2025-05-13 14:19:52	RS55	2C:CF:67:C8:DD:AB	2C-CF-67-C8-DD-AB	-81
2025-05-13 14:19:52	RS55	2C:CF:67:8C:3F:46	2C-CF-67-8C-3F-46	-65
2025-05-13 14:19:53	RS55	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-64
2025-05-13 14:19:53	RS55	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-58
2025-05-13 14:19:53	RS55	2C:CF:67:C8:DD:AB	2C-CF-67-C8-DD-AB	-73
2025-05-13 14:19:53	RS55	2C:CF:67:8C:3F:46	2C-CF-67-8C-3F-46	-67
2025-05-13 14:19:54	RS55	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-65
2025-05-13 14:19:55	RS55	2C:CF:67:C8:DD:AB	2C-CF-67-C8-DD-AB	-64
2025-05-13 14:19:57	RS55	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-56
2025-05-13 14:19:57	RS55	2C:CF:67:8C:3F:46	2C-CF-67-8C-3F-46	-75
2025-05-13 14:19:58	RS55	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-65
2025-05-13 14:19:58	RS55	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-59
