Timestamp	Reference Point	Device Address	Device Name	RSSI
2025-05-13 14:16:11	RS52	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-62
2025-05-13 14:16:11	RS52	2C:CF:67:C8:DD:AB	2C-CF-67-C8-DD-AB	-60
2025-05-13 14:16:12	RS52	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-67
2025-05-13 14:16:12	RS52	2C:CF:67:C8:DD:AB	2C-CF-67-C8-DD-AB	-64
2025-05-13 14:16:13	RS52	2C:CF:67:8C:3F:46	2C-CF-67-8C-3F-46	-60
2025-05-13 14:16:13	RS52	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-63
2025-05-13 14:16:14	RS52	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-76
2025-05-13 14:16:14	RS52	2C:CF:67:8C:3F:46	2C-CF-67-8C-3F-46	-65
2025-05-13 14:16:15	RS52	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-71
2025-05-13 14:16:15	RS52	2C:CF:67:C8:DD:AB	2C-CF-67-C8-DD-AB	-61
2025-05-13 14:16:16	RS52	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-65
2025-05-13 14:16:16	RS52	2C:CF:67:C8:DD:AB	2C-CF-67-C8-DD-AB	-58
2025-05-13 14:16:16	RS52	2C:CF:67:8C:3F:46	2C-CF-67-8C-3F-46	-69
2025-05-13 14:16:17	RS52	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-71
2025-05-13 14:16:17	RS52	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-69
2025-05-13 14:16:18	RS52	2C:CF:67:8C:3F:46	2C-CF-67-8C-3F-46	-66
2025-05-13 14:16:18	RS52	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-70
2025-05-13 14:16:19	RS52	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-70
2025-05-13 14:16:19	RS52	2C:CF:67:C8:DD:AB	2C-CF-67-C8-DD-AB	-61
2025-05-13 14:16:20	RS52	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-61
2025-05-13 14:16:20	RS52	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-67
2025-05-13 14:16:20	RS52	2C:CF:67:C8:DD:AB	2C-CF-67-C8-DD-AB	-60
2025-05-13 14:16:20	RS52	2C:CF:67:8C:3F:46	2C-CF-67-8C-3F-46	-59
2025-05-13 14:16:21	RS52	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-60
2025-05-13 14:16:21	RS52	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-72
2025-05-13 14:16:22	RS52	2C:CF:67:8C:3F:46	2C-CF-67-8C-3F-46	-59
2025-05-13 14:16:22	RS52	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-62
2025-05-13 14:16:23	RS52	2C:CF:67:C8:DD:AB	2C-CF-67-C8-DD-AB	-60
2025-05-13 14:16:23	RS52	2C:CF:67:8C:3F:46	2C-CF-67-8C-3F-46	-61
2025-05-13 14:16:24	RS52	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-61
2025-05-13 14:16:24	RS52	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-64
2025-05-13 14:16:24	RS52	2C:CF:67:C8:DD:AB	2C-CF-67-C8-DD-AB	-59
2025-05-13 14:16:25	RS52	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-70
2025-05-13 14:16:25	RS52	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-63
2025-05-13 14:16:25	RS52	2C:CF:67:8C:3F:46	2C-CF-67-8C-3F-46	-68
2025-05-13 14:16:26	RS52	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-62
2025-05-13 14:16:27	RS52	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-68
2025-05-13 14:16:28	RS52	2C:CF:67:C8:DD:AB	2C-CF-67-C8-DD-AB	-60
2025-05-13 14:16:28	RS52	2C:CF:67:8C:3F:46	2C-CF-67-8C-3F-46	-64
2025-05-13 14:16:29	RS52	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-70
2025-05-13 14:16:29	RS52	2C:CF:67:C8:DD:AB	2C-CF-67-C8-DD-AB	-58
2025-05-13 14:16:29	RS52	2C:CF:67:8C:3F:46	2C-CF-67-8C-3F-46	-66
2025-05-13 14:16:30	RS52	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-70
2025-05-13 14:16:30	RS52	2C:CF:67:C8:DD:AB	2C-CF-67-C8-DD-AB	-59
2025-05-13 14:16:32	RS52	2C:CF:67:C8:DD:AB	2C-CF-67-C8-DD-AB	-59
2025-05-13 14:16:33	RS52	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-65
2025-05-13 14:16:33	RS52	2C:CF:67:C8:DD:AB	2C-CF-67-C8-DD-AB	-60
2025-05-13 14:16:34	RS52	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-64
2025-05-13 14:16:34	RS52	2C:CF:67:C8:DD:AB	2C-CF-67-C8-DD-AB	-61
2025-05-13 14:16:34	RS52	2C:CF:67:8C:3F:46	2C-CF-67-8C-3F-46	-60
2025-05-13 14:16:35	RS52	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-67
2025-05-13 14:16:35	RS52	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-61
2025-05-13 14:16:35	RS52	2C:CF:67:C8:DD:AB	2C-CF-67-C8-DD-AB	-60
2025-05-13 14:16:36	RS52	2C:CF:67:8C:3F:46	2C-CF-67-8C-3F-46	-64
2025-05-13 14:16:37	RS52	2C:CF:67:8C:3F:46	2C-CF-67-8C-3F-46	-64
2025-05-13 14:16:38	RS52	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-61
2025-05-13 14:16:38	RS52	2C:CF:67:8C:3F:46	2C-CF-67-8C-3F-46	-60
2025-05-13 14:16:39	RS52	2C:CF:67:C8:DD:AB	2C-CF-67-C8-DD-AB	-62
2025-05-13 14:16:39	RS52	2C:CF:67:8C:3F:46	2C-CF-67-8C-3F-46	-62
2025-05-13 14:16:40	RS52	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-58
2025-05-13 14:16:41	RS52	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-64
2025-05-13 14:16:41	RS52	2C:CF:67:8C:3F:46	2C-CF-67-8C-3F-46	-64
