Timestamp	Reference Point	Device Address	Device Name	RSSI
2025-05-13 13:57:14	RS30	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-58
2025-05-13 13:57:14	RS30	2C:CF:67:C8:DD:AB	2C-CF-67-C8-DD-AB	-56
2025-05-13 13:57:14	RS30	2C:CF:67:8C:3F:46	2C-CF-67-8C-3F-46	-57
2025-05-13 13:57:15	RS30	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-68
2025-05-13 13:57:15	RS30	2C:CF:67:C8:DD:AB	2C-CF-67-C8-DD-AB	-58
2025-05-13 13:57:16	RS30	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-66
2025-05-13 13:57:17	RS30	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-56
2025-05-13 13:57:17	RS30	2C:CF:67:C8:DD:AB	2C-CF-67-C8-DD-AB	-57
2025-05-13 13:57:17	RS30	2C:CF:67:8C:3F:46	2C-CF-67-8C-3F-46	-57
2025-05-13 13:57:19	RS30	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-67
2025-05-13 13:57:19	RS30	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-56
2025-05-13 13:57:19	RS30	2C:CF:67:C8:DD:AB	2C-CF-67-C8-DD-AB	-61
2025-05-13 13:57:19	RS30	2C:CF:67:8C:3F:46	2C-CF-67-8C-3F-46	-78
2025-05-13 13:57:20	RS30	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-55
2025-05-13 13:57:21	RS30	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-55
2025-05-13 13:57:23	RS30	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-58
2025-05-13 13:57:24	RS30	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-59
2025-05-13 13:57:24	RS30	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-59
2025-05-13 13:57:26	RS30	2C:CF:67:C8:DD:AB	2C-CF-67-C8-DD-AB	-65
2025-05-13 13:57:26	RS30	2C:CF:67:8C:3F:46	2C-CF-67-8C-3F-46	-78
2025-05-13 13:57:27	RS30	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-57
2025-05-13 13:57:27	RS30	2C:CF:67:C8:DD:AB	2C-CF-67-C8-DD-AB	-65
2025-05-13 13:57:28	RS30	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-73
2025-05-13 13:57:28	RS30	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-58
2025-05-13 13:57:28	RS30	2C:CF:67:8C:3F:46	2C-CF-67-8C-3F-46	-63
2025-05-13 13:57:29	RS30	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-58
2025-05-13 13:57:29	RS30	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-60
2025-05-13 13:57:29	RS30	2C:CF:67:C8:DD:AB	2C-CF-67-C8-DD-AB	-56
2025-05-13 13:57:30	RS30	2C:CF:67:8C:3F:46	2C-CF-67-8C-3F-46	-55
2025-05-13 13:57:30	RS30	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-55
2025-05-13 13:57:31	RS30	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-56
2025-05-13 13:57:31	RS30	2C:CF:67:C8:DD:AB	2C-CF-67-C8-DD-AB	-56
2025-05-13 13:57:31	RS30	2C:CF:67:8C:3F:46	2C-CF-67-8C-3F-46	-65
2025-05-13 13:57:33	RS30	2C:CF:67:C8:DD:AB	2C-CF-67-C8-DD-AB	-64
2025-05-13 13:57:33	RS30	2C:CF:67:8C:3F:46	2C-CF-67-8C-3F-46	-54
2025-05-13 13:57:35	RS30	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-61
2025-05-13 13:57:35	RS30	2C:CF:67:C8:DD:AB	2C-CF-67-C8-DD-AB	-64
2025-05-13 13:57:36	RS30	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-65
2025-05-13 13:57:36	RS30	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-56
2025-05-13 13:57:36	RS30	2C:CF:67:8C:3F:46	2C-CF-67-8C-3F-46	-54
2025-05-13 13:57:37	RS30	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-60
2025-05-13 13:57:37	RS30	2C:CF:67:C8:DD:AB	2C-CF-67-C8-DD-AB	-64
2025-05-13 13:57:38	RS30	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-61
2025-05-13 13:57:38	RS30	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-57
2025-05-13 13:57:38	RS30	2C:CF:67:C8:DD:AB	2C-CF-67-C8-DD-AB	-65
2025-05-13 13:57:39	RS30	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-56
2025-05-13 13:57:40	RS30	2C:CF:67:C8:DD:AB	2C-CF-67-C8-DD-AB	-64
2025-05-13 13:57:40	RS30	2C:CF:67:8C:3F:46	2C-CF-67-8C-3F-46	-54
2025-05-13 13:57:41	RS30	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-56
2025-05-13 13:57:41	RS30	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-58
2025-05-13 13:57:41	RS30	2C:CF:67:C8:DD:AB	2C-CF-67-C8-DD-AB	-63
2025-05-13 13:57:43	RS30	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-55
