Timestamp	Reference Point	Device Address	Device Name	RSSI
2025-05-13 13:53:16	RS25	2C:CF:67:8C:3F:46	2C-CF-67-8C-3F-46	-60
2025-05-13 13:53:17	RS25	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-54
2025-05-13 13:53:17	RS25	2C:CF:67:C8:DD:AB	2C-CF-67-C8-DD-AB	-53
2025-05-13 13:53:17	RS25	2C:CF:67:8C:3F:46	2C-CF-67-8C-3F-46	-62
2025-05-13 13:53:18	RS25	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-55
2025-05-13 13:53:18	RS25	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-68
2025-05-13 13:53:18	RS25	2C:CF:67:C8:DD:AB	2C-CF-67-C8-DD-AB	-49
2025-05-13 13:53:19	RS25	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-59
2025-05-13 13:53:20	RS25	2C:CF:67:C8:DD:AB	2C-CF-67-C8-DD-AB	-65
2025-05-13 13:53:20	RS25	2C:CF:67:8C:3F:46	2C-CF-67-8C-3F-46	-65
2025-05-13 13:53:21	RS25	2C:CF:67:C8:DD:AB	2C-CF-67-C8-DD-AB	-49
2025-05-13 13:53:22	RS25	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-67
2025-05-13 13:53:22	RS25	2C:CF:67:C8:DD:AB	2C-CF-67-C8-DD-AB	-49
2025-05-13 13:53:22	RS25	2C:CF:67:8C:3F:46	2C-CF-67-8C-3F-46	-62
2025-05-13 13:53:23	RS25	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-59
2025-05-13 13:53:23	RS25	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-64
2025-05-13 13:53:24	RS25	2C:CF:67:8C:3F:46	2C-CF-67-8C-3F-46	-57
2025-05-13 13:53:24	RS25	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-58
2025-05-13 13:53:25	RS25	2C:CF:67:C8:DD:AB	2C-CF-67-C8-DD-AB	-53
2025-05-13 13:53:25	RS25	2C:CF:67:8C:3F:46	2C-CF-67-8C-3F-46	-62
