Timestamp	Reference Point	Device Address	Device Name	RSSI
2025-05-13 13:36:32	RS2	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-59
2025-05-13 13:36:32	RS2	2C:CF:67:C8:DD:AB	2C-CF-67-C8-DD-AB	-56
2025-05-13 13:36:33	RS2	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-65
2025-05-13 13:36:33	RS2	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-63
2025-05-13 13:36:34	RS2	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-67
2025-05-13 13:36:35	RS2	2C:CF:67:C8:DD:AB	2C-CF-67-C8-DD-AB	-58
2025-05-13 13:36:35	RS2	2C:CF:67:8C:3F:46	2C-CF-67-8C-3F-46	-85
2025-05-13 13:36:36	RS2	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-61
2025-05-13 13:36:37	RS2	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-71
2025-05-13 13:36:37	RS2	2C:CF:67:8C:3F:46	2C-CF-67-8C-3F-46	-74
2025-05-13 13:36:38	RS2	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-72
2025-05-13 13:36:38	RS2	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-63
2025-05-13 13:36:38	RS2	2C:CF:67:C8:DD:AB	2C-CF-67-C8-DD-AB	-57
2025-05-13 13:36:39	RS2	2C:CF:67:8C:3F:46	2C-CF-67-8C-3F-46	-73
2025-05-13 13:36:39	RS2	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-71
2025-05-13 13:36:40	RS2	2C:CF:67:C8:DD:AB	2C-CF-67-C8-DD-AB	-57
2025-05-13 13:36:40	RS2	2C:CF:67:8C:3F:46	2C-CF-67-8C-3F-46	-72
2025-05-13 13:36:41	RS2	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-76
2025-05-13 13:36:42	RS2	2C:CF:67:C8:DD:AB	2C-CF-67-C8-DD-AB	-56
2025-05-13 13:36:42	RS2	2C:CF:67:8C:3F:46	2C-CF-67-8C-3F-46	-70
2025-05-13 13:36:45	RS2	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-62
2025-05-13 13:36:45	RS2	2C:CF:67:C8:DD:AB	2C-CF-67-C8-DD-AB	-58
2025-05-13 13:36:46	RS2	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-76
2025-05-13 13:36:46	RS2	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-61
2025-05-13 13:36:46	RS2	2C:CF:67:8C:3F:46	2C-CF-67-8C-3F-46	-86
2025-05-13 13:36:47	RS2	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-61
2025-05-13 13:36:48	RS2	2C:CF:67:8C:3F:46	2C-CF-67-8C-3F-46	-84
2025-05-13 13:36:48	RS2	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-77
2025-05-13 13:36:49	RS2	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-59
2025-05-13 13:36:49	RS2	2C:CF:67:C8:DD:AB	2C-CF-67-C8-DD-AB	-57
2025-05-13 13:36:50	RS2	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-64
2025-05-13 13:36:50	RS2	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-61
2025-05-13 13:36:50	RS2	2C:CF:67:8C:3F:46	2C-CF-67-8C-3F-46	-78
2025-05-13 13:36:51	RS2	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-62
2025-05-13 13:36:51	RS2	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-62
2025-05-13 13:36:51	RS2	2C:CF:67:8C:3F:46	2C-CF-67-8C-3F-46	-75
2025-05-13 13:36:52	RS2	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-65
2025-05-13 13:36:52	RS2	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-57
2025-05-13 13:36:52	RS2	2C:CF:67:C8:DD:AB	2C-CF-67-C8-DD-AB	-56
2025-05-13 13:36:53	RS2	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-71
2025-05-13 13:36:55	RS2	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-67
2025-05-13 13:36:55	RS2	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-67
2025-05-13 13:36:55	RS2	2C:CF:67:C8:DD:AB	2C-CF-67-C8-DD-AB	-57
